exp,date,w,fss,q
EG2,2018-11-21T13:00:00Z,5,0.608278826783429,5
EG2,2018-11-21T13:00:00Z,11,0.688057918076045,5
EG2,2018-11-21T13:00:00Z,51,0.883837987914861,5
EG2,2018-11-21T13:00:00Z,101,0.890225017449792,5
EG2,2018-11-21T13:00:00Z,1,0.267536127184914,10
EG2,2018-11-21T13:00:00Z,5,0.409640375647556,10
EG2,2018-11-21T13:00:00Z,11,0.481252110660435,10
EG2,2018-11-21T13:00:00Z,51,0.772893238917205,10
EG2,2018-11-21T13:00:00Z,101,0.760515851876225,10
EG2,2018-11-21T13:00:00Z,1,0.0670084303430304,25
EG2,2018-11-21T13:00:00Z,5,0.0936667052528456,25
EG2,2018-11-21T13:00:00Z,11,0.100665230559037,25
EG2,2018-11-21T13:00:00Z,51,0.551684768863965,25
EG2,2018-11-21T13:00:00Z,101,0.537540387614582,25
EG2,2018-11-21T13:00:00Z,1,0,50
EG2,2018-11-21T13:00:00Z,5,0,50
EG2,2018-11-21T13:00:00Z,11,0.00327638093388971,50
EG2,2018-11-21T13:00:00Z,51,0.438582790311194,50
EG2,2018-11-21T13:00:00Z,101,0.440512203405136,50
EG2,2018-11-21T14:00:00Z,1,0.230213090525907,1
EG2,2018-11-21T14:00:00Z,5,0.290972643329672,1
EG2,2018-11-21T14:00:00Z,11,0.308573190666302,1
EG2,2018-11-21T14:00:00Z,51,0.576249083568429,1
EG2,2018-11-21T14:00:00Z,101,0.664197476461021,1
EG2,2018-11-21T14:00:00Z,1,0.43916802149155,5
EG2,2018-11-21T14:00:00Z,5,0.626650536352839,5
EG2,2018-11-21T14:00:00Z,11,0.713489182832858,5
EG2,2018-11-21T14:00:00Z,51,0.886776277446936,5
EG2,2018-11-21T14:00:00Z,101,0.878639103680488,5
EG2,2018-11-21T14:00:00Z,1,0.327127007060491,10
EG2,2018-11-21T14:00:00Z,5,0.491668713464546,10
EG2,2018-11-21T14:00:00Z,11,0.537356651785321,10
EG2,2018-11-21T14:00:00Z,51,0.729362457741712,10
EG2,2018-11-21T14:00:00Z,101,0.687935860105092,10
EG2,2018-11-21T14:00:00Z,1,0.0437497468185947,25
EG2,2018-11-21T14:00:00Z,5,0.0625681121867212,25
EG2,2018-11-21T14:00:00Z,11,0.0727212224240248,25
EG2,2018-11-21T14:00:00Z,51,0.43892743560702,25
EG2,2018-11-21T14:00:00Z,101,0.423629324520445,25
EG2,2018-11-21T14:00:00Z,1,0,50
EG2,2018-11-21T14:00:00Z,5,0,50
EG2,2018-11-21T14:00:00Z,11,0.00020553146058655,50
EG2,2018-11-21T14:00:00Z,51,0.145014095928931,50
EG2,2018-11-21T14:00:00Z,101,0.143894372606279,50
EG2,2018-11-21T15:00:00Z,1,0.204363362199415,1
EG2,2018-11-21T15:00:00Z,5,0.257629767484507,1
EG2,2018-11-21T15:00:00Z,11,0.271150456220401,1
EG2,2018-11-21T15:00:00Z,51,0.461666835703424,1
EG2,2018-11-21T15:00:00Z,101,0.55828166731211,1
EG2,2018-11-21T15:00:00Z,1,0.434328059898836,5
EG2,2018-11-21T15:00:00Z,5,0.626514809736952,5
EG2,2018-11-21T15:00:00Z,11,0.725004921486947,5
EG2,2018-11-21T15:00:00Z,51,0.883528333893202,5
EG2,2018-11-21T15:00:00Z,101,0.856670384905707,5
EG2,2018-11-21T15:00:00Z,1,0.320947895858238,10
EG2,2018-11-21T15:00:00Z,5,0.50555443518205,10
EG2,2018-11-21T15:00:00Z,11,0.551640206039468,10
EG2,2018-11-21T15:00:00Z,51,0.698480907402951,10
EG2,2018-11-21T15:00:00Z,101,0.6519572035635,10
EG2,2018-11-21T15:00:00Z,1,0.0544909635818726,25
EG2,2018-11-21T15:00:00Z,5,0.127350376450407,25
EG2,2018-11-21T15:00:00Z,11,0.139647716701958,25
EG2,2018-11-21T15:00:00Z,51,0.417171474118489,25
EG2,2018-11-21T15:00:00Z,101,0.394551496519847,25
EG2,2018-11-21T15:00:00Z,1,0,50
EG2,2018-11-21T15:00:00Z,5,0,50
EG2,2018-11-21T15:00:00Z,11,0.000110152179443102,50
EG2,2018-11-21T15:00:00Z,51,0.146614509503651,50
EG2,2018-11-21T15:00:00Z,101,0.145733570218665,50
EG2,2018-11-21T16:00:00Z,1,0.175749393613637,1
EG2,2018-11-21T16:00:00Z,5,0.223515519237237,1
EG2,2018-11-21T16:00:00Z,11,0.231435225652939,1
EG2,2018-11-21T16:00:00Z,51,0.33155781892972,1
EG2,2018-11-21T16:00:00Z,101,0.437760219483164,1
EG2,2018-11-21T16:00:00Z,1,0.363269299586508,5
EG2,2018-11-21T16:00:00Z,5,0.540773269575485,5
EG2,2018-11-21T16:00:00Z,11,0.63916403989383,5
EG2,2018-11-21T16:00:00Z,51,0.816835247137817,5
EG2,2018-11-21T16:00:00Z,101,0.783757114786194,5
EG2,2018-11-21T16:00:00Z,1,0.375491492833588,10
EG2,2018-11-21T16:00:00Z,5,0.597057234899608,10
EG2,2018-11-21T16:00:00Z,11,0.659686218811389,10
EG2,2018-11-21T16:00:00Z,51,0.829915932716589,10
EG2,2018-11-21T16:00:00Z,101,0.797374655910356,10
EG2,2018-11-21T16:00:00Z,1,0.0916854848294478,25
EG2,2018-11-21T16:00:00Z,5,0.237913687737406,25
EG2,2018-11-21T16:00:00Z,11,0.270796519184835,25
EG2,2018-11-21T16:00:00Z,51,0.509216309185805,25
EG2,2018-11-21T16:00:00Z,101,0.486646047606823,25
EG2,2018-11-21T16:00:00Z,1,0,50
EG2,2018-11-21T16:00:00Z,5,0,50
EG2,2018-11-21T16:00:00Z,11,0,50
EG2,2018-11-21T16:00:00Z,51,0.244247124618465,50
EG2,2018-11-21T16:00:00Z,101,0.244093172519962,50
EG2,2018-11-21T17:00:00Z,1,0.233027121241464,1
EG2,2018-11-21T17:00:00Z,5,0.29796692287688,1
EG2,2018-11-21T17:00:00Z,11,0.305457113712742,1
EG2,2018-11-21T17:00:00Z,51,0.312200874163585,1
